"time","price","volume"
"2016-03-18 01:00:00","1.151","1750"
"2016-03-19 01:00:00","1.1","1426"
"2016-03-20 01:00:00","1.076","810"
"2016-03-21 01:00:00","1.084","462"
"2016-03-22 01:00:00","1.099","377"
"2016-03-23 01:00:00","1.116","310"
"2016-03-24 01:00:00","1.11","343"
"2016-03-25 01:00:00","1.097","350"
"2016-03-26 01:00:00","1.093","361"
"2016-03-27 01:00:00","1.106","397"
"2016-03-28 01:00:00","1.079","390"
"2016-03-29 01:00:00","1.11","306"
"2016-03-30 01:00:00","1.136","264"
"2016-03-31 01:00:00","1.119","310"
"2016-04-01 01:00:00","1.112","240"
"2016-04-02 01:00:00","1.09","270"
"2016-04-03 01:00:00","0.303","3828"
"2016-04-04 01:00:00","0.344","2324"
"2016-04-05 01:00:00","0.438","1280"
"2016-04-06 01:00:00","0.52","801"
"2016-04-07 01:00:00","0.529","577"
"2016-04-08 01:00:00","0.521","592"
"2016-04-09 01:00:00","0.552","616"
"2016-04-10 01:00:00","0.586","504"
"2016-04-11 01:00:00","0.554","403"
"2016-04-12 01:00:00","0.508","286"
"2016-04-13 01:00:00","0.501","365"
"2016-04-14 01:00:00","0.493","284"
"2016-04-15 01:00:00","0.496","310"
"2016-04-16 01:00:00","0.508","370"
"2016-04-17 01:00:00","0.496","370"
"2016-04-18 01:00:00","0.495","240"
"2016-04-19 01:00:00","0.493","241"
"2016-04-20 01:00:00","0.506","303"
"2016-04-21 01:00:00","0.516","252"
"2016-04-22 01:00:00","0.546","349"
"2016-04-23 01:00:00","0.559","329"
"2016-04-24 01:00:00","0.546","354"
"2016-04-25 01:00:00","0.557","289"
"2016-04-26 01:00:00","0.57","262"
"2016-04-27 01:00:00","0.576","216"
"2016-04-28 01:00:00","0.562","282"
"2016-04-29 01:00:00","0.593","286"
"2016-04-30 01:00:00","0.601","332"
"2016-05-01 01:00:00","0.658","366"
"2016-05-02 01:00:00","0.736","229"
"2016-05-03 01:00:00","0.798","188"
"2016-05-04 01:00:00","0.807","173"
"2016-05-05 01:00:00","0.829","164"
"2016-05-06 01:00:00","0.816","160"
"2016-05-07 01:00:00","0.783","171"
"2016-05-08 01:00:00","0.756","180"
"2016-05-09 01:00:00","0.766","126"
"2016-05-10 01:00:00","0.715","154"
"2016-05-11 01:00:00","0.752","136"
"2016-05-12 01:00:00","0.731","133"
"2016-05-13 01:00:00","0.73","172"
"2016-05-14 01:00:00","0.758","185"
"2016-05-15 01:00:00","0.79","188"
"2016-05-16 01:00:00","0.786","112"
"2016-05-17 01:00:00","0.701","165"
"2016-05-18 01:00:00","0.728","141"
"2016-05-19 01:00:00","0.765","101"
"2016-05-20 01:00:00","0.763","117"
"2016-05-21 01:00:00","0.747","198"
"2016-05-22 01:00:00","0.745","170"
"2016-05-23 01:00:00","0.726","121"
"2016-05-24 01:00:00","0.779","143"
"2016-05-25 01:00:00","0.762","135"
"2016-05-26 01:00:00","0.761","110"
"2016-05-27 01:00:00","0.734","115"
"2016-05-28 01:00:00","0.759","158"
"2016-05-29 01:00:00","0.77","148"
"2016-05-30 01:00:00","0.783","120"
"2016-05-31 01:00:00","0.791","88"
"2016-06-01 01:00:00","0.742","160"
"2016-06-02 01:00:00","0.727","139"
"2016-06-03 01:00:00","0.731","141"
"2016-06-04 01:00:00","0.763","139"
"2016-06-05 01:00:00","0.759","142"
"2016-06-06 01:00:00","0.748","144"
"2016-06-07 01:00:00","0.719","118"
"2016-06-08 01:00:00","0.726","95"
"2016-06-09 01:00:00","0.696","126"
"2016-06-10 01:00:00","0.715","125"
"2016-06-11 01:00:00","0.706","126"
"2016-06-12 01:00:00","0.645","116"
"2016-06-13 01:00:00","0.582","114"
"2016-06-14 01:00:00","0.566","174"
"2016-06-15 01:00:00","0.559","162"
"2016-06-16 01:00:00","0.586","123"
"2016-06-17 01:00:00","0.605","168"
"2016-06-18 01:00:00","0.623","212"
"2016-06-19 01:00:00","0.68","144"
"2016-06-20 01:00:00","0.678","157"
"2016-06-21 01:00:00","0.667","137"
"2016-06-22 01:00:00","0.694","126"
"2016-06-23 01:00:00","0.684","131"
"2016-06-24 01:00:00","0.646","110"
"2016-06-25 01:00:00","0.504","207"
"2016-06-26 01:00:00","0.523","97"
"2016-06-27 01:00:00","0.552","135"
"2016-06-28 01:00:00","0.541","92"
"2016-06-29 01:00:00","0.506","123"
"2016-06-30 01:00:00","0.539","103"
"2016-07-01 01:00:00","0.61","85"
"2016-07-02 01:00:00","0.645","68"
"2016-07-03 01:00:00","0.637","74"
"2016-07-04 01:00:00","0.621","92"
"2016-07-05 01:00:00","0.595","118"
"2016-07-06 01:00:00","0.57","151"
"2016-07-07 01:00:00","0.584","117"
"2016-07-08 01:00:00","0.601","86"
"2016-07-09 01:00:00","0.583","94"
"2016-07-10 01:00:00","0.502","88"
"2016-07-11 01:00:00","0.504","61"
"2016-07-12 01:00:00","0.584","58"
"2016-07-13 01:00:00","0.579","42"
"2016-07-14 01:00:00","0.544","58"
"2016-07-15 01:00:00","0.564","42"
"2016-07-16 01:00:00","0.548","44"
"2016-07-17 01:00:00","0.582","45"
"2016-07-18 01:00:00","0.555","47"
"2016-07-19 01:00:00","0.558","39"
"2016-07-20 01:00:00","0.545","45"
"2016-07-21 01:00:00","0.539","55"
"2016-07-22 01:00:00","0.513","41"
"2016-07-23 01:00:00","0.491","33"
"2016-07-24 01:00:00","0.475","45"
"2016-07-25 01:00:00","0.49","60"
"2016-07-26 01:00:00","0.53","48"
"2016-07-27 01:00:00","0.557","48"
"2016-07-28 01:00:00","0.556","51"
"2016-07-29 01:00:00","0.554","52"
"2016-07-30 01:00:00","0.55","49"
"2016-07-31 01:00:00","0.583","41"
"2016-08-01 01:00:00","0.598","42"
"2016-08-02 01:00:00","0.593","30"
"2016-08-03 01:00:00","0.547","35"
"2016-08-04 01:00:00","0.565","35"
"2016-08-05 01:00:00","0.558","38"
"2016-08-06 01:00:00","0.565","52"
"2016-08-07 01:00:00","0.528","41"
"2016-08-08 01:00:00","0.578","25"
"2016-08-09 01:00:00","0.566","30"
"2016-08-10 01:00:00","0.516","30"
"2016-08-11 01:00:00","0.472","52"
"2016-08-12 01:00:00","0.53","32"
"2016-08-13 01:00:00","0.526","34"
"2016-08-14 01:00:00","0.565","23"
"2016-08-15 01:00:00","0.544","37"
"2016-08-16 01:00:00","0.536","35"
"2016-08-17 01:00:00","0.52","26"
"2016-08-18 01:00:00","0.534","32"
"2016-08-19 01:00:00","0.51","33"
"2016-08-20 01:00:00","0.514","34"
"2016-08-21 01:00:00","0.522","46"
"2016-08-22 01:00:00","0.498","33"
"2016-08-23 01:00:00","0.529","38"
"2016-08-24 01:00:00","0.51","43"
"2016-08-25 01:00:00","0.535","36"
"2016-08-26 01:00:00","0.486","54"
"2016-08-27 01:00:00","0.532","48"
"2016-08-28 01:00:00","0.535","53"
"2016-08-29 01:00:00","0.546","55"
"2016-08-30 01:00:00","0.547","59"
"2016-08-31 01:00:00","0.549","43"
"2016-09-01 01:00:00","0.579","25"
"2016-09-02 01:00:00","0.551","37"
"2016-09-03 01:00:00","0.599","32"
"2016-09-04 01:00:00","0.605","21"
"2016-09-05 01:00:00","0.611","44"
